  QueueTimes | ServiceTimes | SojournTimes
       0.070 |        0.251 |        0.322
       0.349 |        0.234 |        0.583
       0.464 |        0.225 |        0.690
       0.432 |        0.220 |        0.652
       0.185 |        0.223 |        0.407
       0.225 |        0.241 |        0.466
       0.424 |        0.210 |        0.634
       0.394 |        0.198 |        0.593
       0.016 |        0.199 |        0.215
       0.032 |        0.187 |        0.219
       0.216 |        0.183 |        0.398
       0.217 |        0.190 |        0.407
       0.073 |        0.213 |        0.287
       0.173 |        0.203 |        0.377
       0.380 |        0.199 |        0.579
       0.201 |        0.212 |        0.413
       0.262 |        0.209 |        0.471
       0.266 |        0.200 |        0.466
       0.057 |        0.211 |        0.268
       0.159 |        0.196 |        0.355
       0.064 |        0.209 |        0.272
       0.058 |        0.205 |        0.263
       0.057 |        0.197 |        0.255
       0.208 |        0.189 |        0.397
       0.029 |        0.187 |        0.216
       0.057 |        0.183 |        0.240
       0.218 |        0.182 |        0.400
       0.056 |        0.176 |        0.232
       0.210 |        0.209 |        0.419
       0.176 |        0.277 |        0.453
       0.219 |        0.356 |        0.576
       0.076 |        0.336 |        0.412
       0.296 |        0.328 |        0.624
       0.672 |        0.292 |        0.964
       0.798 |        0.281 |        1.079
       1.128 |        0.266 |        1.394
       1.180 |        0.247 |        1.427
       1.453 |        0.238 |        1.691
       1.443 |        0.228 |        1.671
       1.546 |        0.217 |        1.762
       0.239 |        0.267 |        0.506
       0.233 |        0.278 |        0.512
       0.205 |        0.267 |        0.472
       0.017 |        0.250 |        0.268
       0.059 |        0.230 |        0.289
       0.057 |        0.242 |        0.299
       0.070 |        0.245 |        0.315
       0.069 |        0.235 |        0.305
       0.303 |        0.217 |        0.519
       0.074 |        0.215 |        0.289
       0.311 |        0.218 |        0.529
       0.056 |        0.194 |        0.250
       0.230 |        0.244 |        0.475
       0.429 |        0.216 |        0.645
       0.229 |        0.203 |        0.432
       0.151 |        0.212 |        0.363
       0.221 |        0.201 |        0.422
       0.064 |        0.203 |        0.267
       0.057 |        0.204 |        0.261
       0.056 |        0.186 |        0.242
       0.205 |        0.225 |        0.431
       0.351 |        0.213 |        0.563
       0.266 |        0.203 |        0.469
       0.225 |        0.183 |        0.407
       0.170 |        0.209 |        0.379
       0.057 |        0.195 |        0.252
       0.217 |        0.190 |        0.407
       0.221 |        0.218 |        0.439
       0.485 |        0.220 |        0.706
       0.696 |        0.205 |        0.900
       0.074 |        0.217 |        0.291
       0.166 |        0.200 |        0.367
       0.070 |        0.210 |        0.280
       0.056 |        0.213 |        0.269
       0.186 |        0.207 |        0.392
       0.055 |        0.192 |        0.248
       0.088 |        0.175 |        0.263
       0.055 |        0.172 |        0.226
       0.228 |        0.169 |        0.398
       0.340 |        0.169 |        0.509
       0.217 |        0.180 |        0.397
       0.056 |        0.170 |        0.226
       0.183 |        0.183 |        0.366
       0.300 |        0.181 |        0.481
       0.229 |        0.189 |        0.418
       0.151 |        0.182 |        0.332
       0.249 |        0.178 |        0.427
       0.165 |        0.182 |        0.347
       0.016 |        0.172 |        0.188
       0.149 |        0.232 |        0.381
       0.075 |        0.206 |        0.281
       0.020 |        0.189 |        0.209
       0.254 |        0.182 |        0.436
       0.054 |        0.166 |        0.220
       0.054 |        0.170 |        0.224
       0.070 |        0.187 |        0.256
       0.214 |        0.235 |        0.450
       0.056 |        0.191 |        0.247
       0.054 |        0.187 |        0.241
       0.069 |        0.205 |        0.273
       0.202 |        0.171 |        0.372
       0.069 |        0.196 |        0.264
       0.012 |        0.168 |        0.180
       0.054 |        0.160 |        0.213
       0.213 |        0.270 |        0.484
       0.147 |        0.213 |        0.360
       0.090 |        0.335 |        0.425
       0.120 |        0.412 |        0.532
       0.642 |        0.394 |        1.036
       1.041 |        0.451 |        1.492
       0.772 |        0.285 |        1.058
       0.132 |        0.247 |        0.379
       0.093 |        0.258 |        0.351
       0.073 |        0.279 |        0.353
       0.219 |        0.255 |        0.474
       0.057 |        0.252 |        0.309
       0.057 |        0.269 |        0.326
       0.071 |        0.305 |        0.376
       0.212 |        0.358 |        0.570
       0.219 |        0.321 |        0.540
       0.207 |        0.351 |        0.558
       0.062 |        0.301 |        0.363
       0.400 |        0.293 |        0.693
       0.665 |        0.275 |        0.940
       0.067 |        0.298 |        0.365
       0.204 |        0.286 |        0.490
       0.255 |        0.280 |        0.535
       0.534 |        0.249 |        0.783
       0.168 |        0.299 |        0.467
       0.060 |        0.236 |        0.296
       0.172 |        0.290 |        0.462
       0.076 |        0.310 |        0.386
       0.057 |        0.288 |        0.345
       0.059 |        0.311 |        0.370
       0.059 |        0.310 |        0.368
       0.321 |        0.337 |        0.657
       0.215 |        0.381 |        0.596
       0.222 |        0.383 |        0.604
       0.210 |        0.344 |        0.554
       0.406 |        0.317 |        0.722
       0.422 |        0.307 |        0.729
       0.715 |        0.281 |        0.996
       0.213 |        0.388 |        0.602
       0.077 |        0.293 |        0.370
       0.219 |        0.399 |        0.618
       0.088 |        0.299 |        0.386
       0.097 |        0.369 |        0.467
       0.190 |        0.362 |        0.552
       0.234 |        0.407 |        0.641
       0.218 |        0.387 |        0.605
       0.322 |        0.334 |        0.656
       0.227 |        0.349 |        0.575
       0.014 |        0.320 |        0.334
       0.075 |        0.302 |        0.378
       0.069 |        0.311 |        0.379
       0.014 |        0.289 |        0.303
       0.119 |        0.281 |        0.400
       0.338 |        0.252 |        0.590
       0.378 |        0.229 |        0.607
       0.163 |        0.246 |        0.409
       0.154 |        0.233 |        0.387
       0.296 |        0.236 |        0.532
       0.058 |        0.213 |        0.271
       0.265 |        0.239 |        0.504
       0.058 |        0.211 |        0.269
       0.103 |        0.296 |        0.400
       0.200 |        0.235 |        0.435
       0.057 |        0.217 |        0.274
       0.198 |        0.278 |        0.477
       0.509 |        0.229 |        0.737
       0.310 |        0.206 |        0.516
       0.056 |        0.234 |        0.291
       0.054 |        0.183 |        0.237
       0.158 |        0.178 |        0.336
       0.226 |        0.269 |        0.495
       0.002 |        0.212 |        0.214
       0.263 |        0.243 |        0.507
       0.267 |        0.217 |        0.484
       0.121 |        0.212 |        0.333
       0.061 |        0.205 |        0.266
       0.206 |        0.228 |        0.434
       0.074 |        0.262 |        0.336
       0.263 |        0.231 |        0.494
       0.209 |        0.292 |        0.501
       0.065 |        0.274 |        0.340
       0.274 |        0.275 |        0.549
       0.427 |        0.289 |        0.715
       0.063 |        0.305 |        0.368
       0.228 |        0.385 |        0.613
       0.062 |        0.371 |        0.434
       0.063 |        0.422 |        0.485
       0.521 |        0.398 |        0.920
       1.000 |        0.402 |        1.402
       0.575 |        0.356 |        0.931
       0.685 |        0.343 |        1.029
       0.202 |        0.341 |        0.543
       0.107 |        0.315 |        0.422
       0.075 |        0.317 |        0.391
       0.183 |        0.311 |        0.494
       0.221 |        0.383 |        0.605
       0.076 |        0.299 |        0.375
       0.208 |        0.339 |        0.547
       0.414 |        0.296 |        0.710
       0.190 |        0.382 |        0.573
       0.077 |        0.336 |        0.413
       0.072 |        0.362 |        0.434
       0.359 |        0.301 |        0.660
       0.077 |        0.273 |        0.350
       0.070 |        0.284 |        0.354
       0.058 |        0.267 |        0.325
       0.096 |        0.294 |        0.389
       0.223 |        0.322 |        0.545
       0.213 |        0.268 |        0.482
       0.065 |        0.280 |        0.344
       0.026 |        0.262 |        0.288
       0.058 |        0.244 |        0.302
       0.056 |        0.212 |        0.268
       0.209 |        0.226 |        0.435
       0.343 |        0.223 |        0.565
       0.390 |        0.206 |        0.595
       0.213 |        0.254 |        0.467
       0.076 |        0.250 |        0.325
       0.095 |        0.231 |        0.325
       0.224 |        0.239 |        0.463
       0.212 |        0.245 |        0.457
       0.067 |        0.258 |        0.325
       0.057 |        0.231 |        0.288
       0.290 |        0.230 |        0.520
       0.161 |        0.306 |        0.468
       0.537 |        0.248 |        0.784
       0.519 |        0.234 |        0.753
       0.215 |        0.222 |        0.437
