  QueueTimes | ServiceTimes | SojournTimes
       0.361 |        0.235 |        0.596
       0.578 |        0.233 |        0.810
       0.782 |        0.236 |        1.018
       0.673 |        0.234 |        0.907
       0.053 |        0.234 |        0.287
       0.107 |        0.236 |        0.342
       0.210 |        0.247 |        0.457
       0.153 |        0.278 |        0.431
       0.157 |        0.293 |        0.450
       0.072 |        0.289 |        0.361
       0.111 |        0.245 |        0.356
       0.053 |        0.255 |        0.307
       0.038 |        0.356 |        0.394
       0.176 |        0.219 |        0.396
       0.120 |        0.201 |        0.321
       0.057 |        0.226 |        0.283
       0.163 |        0.243 |        0.406
       0.374 |        0.206 |        0.581
       0.036 |        0.207 |        0.242
       0.018 |        0.212 |        0.230
       0.253 |        0.204 |        0.457
       0.389 |        0.262 |        0.651
       0.529 |        0.202 |        0.731
       0.508 |        0.230 |        0.738
       0.144 |        0.229 |        0.373
       0.053 |        0.205 |        0.258
       0.296 |        0.201 |        0.497
       0.323 |        0.221 |        0.544
       0.244 |        0.247 |        0.491
       0.338 |        0.215 |        0.553
       0.518 |        0.217 |        0.735
       0.529 |        0.225 |        0.754
       0.771 |        0.208 |        0.979
       0.292 |        0.199 |        0.492
       0.179 |        0.229 |        0.408
       0.171 |        0.215 |        0.387
       0.213 |        0.212 |        0.425
       0.362 |        0.246 |        0.607
       0.255 |        0.203 |        0.458
       0.384 |        0.202 |        0.585
       0.263 |        0.211 |        0.474
       0.044 |        0.207 |        0.252
       0.159 |        0.248 |        0.407
       0.377 |        0.234 |        0.611
       0.286 |        0.244 |        0.530
       0.145 |        0.203 |        0.348
       0.053 |        0.213 |        0.266
       0.053 |        0.329 |        0.382
       0.220 |        0.260 |        0.480
       0.052 |        0.203 |        0.256
       0.036 |        0.201 |        0.237
       0.052 |        0.201 |        0.253
       0.052 |        0.242 |        0.294
       0.052 |        0.202 |        0.254
       0.272 |        0.206 |        0.478
       0.306 |        0.198 |        0.505
       0.449 |        0.267 |        0.716
       0.479 |        0.217 |        0.696
       0.108 |        0.250 |        0.358
       0.170 |        0.228 |        0.398
       0.391 |        0.314 |        0.705
       0.473 |        0.208 |        0.680
       0.522 |        0.237 |        0.759
       0.395 |        0.317 |        0.712
       0.376 |        0.239 |        0.616
       0.630 |        0.268 |        0.898
       0.878 |        0.215 |        1.093
       0.734 |        0.241 |        0.975
       0.945 |        0.229 |        1.175
       1.182 |        0.208 |        1.391
       0.179 |        0.220 |        0.399
       0.053 |        0.221 |        0.274
       0.052 |        0.214 |        0.266
       0.185 |        0.281 |        0.466
       0.053 |        0.291 |        0.345
       0.139 |        0.333 |        0.472
       0.463 |        0.327 |        0.790
       0.669 |        0.213 |        0.883
       0.467 |        0.225 |        0.692
       0.699 |        0.207 |        0.906
       0.181 |        0.241 |        0.422
       0.298 |        0.211 |        0.510
       0.267 |        0.215 |        0.482
       0.411 |        0.202 |        0.613
       0.053 |        0.241 |        0.294
       0.052 |        0.275 |        0.327
       0.052 |        0.239 |        0.291
       0.238 |        0.210 |        0.448
       0.158 |        0.220 |        0.378
       0.418 |        0.205 |        0.624
       0.565 |        0.203 |        0.768
       0.255 |        0.202 |        0.457
       0.131 |        0.209 |        0.340
       0.064 |        0.205 |        0.270
       0.259 |        0.202 |        0.461
       0.205 |        0.270 |        0.475
       0.055 |        0.264 |        0.319
       0.169 |        0.228 |        0.397
       0.325 |        0.221 |        0.546
       0.577 |        0.203 |        0.780
       0.767 |        0.218 |        0.986
       0.616 |        0.225 |        0.842
       0.739 |        0.199 |        0.939
       0.962 |        0.214 |        1.176
       0.127 |        0.197 |        0.324
       0.052 |        0.202 |        0.254
       0.052 |        0.303 |        0.355
       0.195 |        0.296 |        0.490
       0.144 |        0.249 |        0.392
       0.072 |        0.245 |        0.317
